work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2025,EN,FT,Other,69120,NL,0,NL,M
2025,EN,FT,Other,50160,NL,0,NL,M
2025,EN,FT,Data Engineer,158113,US,0,US,M
2025,EN,FT,Data Engineer,87795,US,0,US,M
2025,EX,FT,Data Engineer,351410,US,0,US,M
2025,EX,FT,Data Engineer,195230,US,0,US,M
2025,SE,FT,Engineer,199000,US,100,US,M
2025,SE,FT,Engineer,159200,US,100,US,M
2025,SE,FT,Systems Engineer,207000,US,100,US,M
2025,SE,FT,Systems Engineer,160000,US,100,US,M
2025,SE,FT,Analytics Engineer,191000,US,100,US,M
2025,SE,FT,Analytics Engineer,162000,US,100,US,M
2025,MI,FT,Analytics Engineer,146000,US,0,US,M
2025,MI,FT,Analytics Engineer,97000,US,0,US,M
2025,SE,FT,Data Architect,278500,US,0,US,M
2025,SE,FT,Data Architect,131300,US,0,US,M
2025,MI,FT,Data Manager,121000,US,0,US,M
2025,MI,FT,Data Manager,103000,US,0,US,M
2025,MI,FT,Data Manager,80000,US,0,US,M
2025,MI,FT,Data Manager,62000,US,0,US,M
2025,SE,FT,BI Developer,198300,US,0,US,M
2025,SE,FT,BI Developer,94400,US,0,US,M
2025,MI,FT,Machine Learning Engineer,246000,US,0,US,M
2025,MI,FT,Machine Learning Engineer,196000,US,0,US,M
2025,SE,FT,Machine Learning Engineer,230000,US,0,US,M
2025,SE,FT,Machine Learning Engineer,175000,US,0,US,M
2025,SE,FT,Engineer,175000,CA,0,CA,M
2025,SE,FT,Engineer,142000,CA,0,CA,M
2025,EX,FT,Engineer,325000,US,100,US,M
2025,EX,FT,Engineer,250000,US,100,US,M
2025,SE,FT,Machine Learning Engineer,174600,US,0,US,M
2025,SE,FT,Machine Learning Engineer,116400,US,0,US,M
2025,SE,FT,Machine Learning Scientist,202500,US,0,US,M
2025,SE,FT,Machine Learning Scientist,121500,US,0,US,M
2025,MI,FT,Business Intelligence Developer,107309,CA,0,CA,M
2025,MI,FT,Business Intelligence Developer,85839,CA,0,CA,M
2025,SE,FT,Product Manager,142000,CA,100,CA,M
2025,SE,FT,Product Manager,113000,CA,100,CA,M
2025,MI,FT,Data Scientist,209100,US,0,US,M
2025,MI,FT,Data Scientist,154500,US,0,US,M
2025,SE,FT,Data Scientist,335720,US,100,US,M
2025,SE,FT,Data Scientist,163064,US,100,US,M
2025,EN,FT,Data Scientist,77000,US,0,US,M
2025,EN,FT,Data Scientist,70000,US,0,US,M
2025,SE,FT,Data Scientist,133000,US,0,US,M
2025,SE,FT,Data Scientist,90000,US,0,US,M
2025,MI,FT,Data Scientist,150400,US,0,US,M
2025,MI,FT,Data Scientist,90300,US,0,US,M
2025,MI,FT,Data Scientist,142200,US,0,US,M
2025,MI,FT,Data Scientist,85300,US,0,US,M
2025,MI,FT,Data Scientist,128600,US,0,US,M
2025,MI,FT,Data Scientist,62800,US,0,US,M
2025,MI,FT,Data Scientist,218030,US,0,US,M
2025,MI,FT,Data Scientist,114080,US,0,US,M
2025,MI,FT,Engineer,240000,US,0,US,M
2025,MI,FT,Engineer,120000,US,0,US,M
2025,SE,FT,AI Engineer,200000,US,0,US,M
2025,SE,FT,AI Engineer,170000,US,0,US,M
2025,MI,FT,Data Specialist,54000,US,0,US,M
2025,SE,FT,Research Engineer,218100,US,0,US,M
2025,SE,FT,Research Engineer,158800,US,0,US,M
2025,SE,FT,Data Analyst,136000,US,0,US,M
2025,SE,FT,Data Analyst,86000,US,0,US,M
2025,EN,FT,Data Analyst,152000,US,0,US,M
2025,EN,FT,Data Analyst,96000,US,0,US,M
2025,SE,FT,AI Engineer,214032,US,0,US,M
2025,SE,FT,AI Engineer,140700,US,0,US,M
2025,SE,FT,AI Engineer,199000,US,100,US,M
2025,SE,FT,AI Engineer,159200,US,100,US,M
2025,SE,FT,Software Developer,158113,US,0,US,M
2025,SE,FT,Software Developer,87795,US,0,US,M
2025,SE,FT,Analyst,115000,US,0,US,M
2025,SE,FT,Analyst,85000,US,0,US,M
2025,EN,FT,Analyst,124600,US,0,US,M
2025,EN,FT,Analyst,69000,US,0,US,M
2025,SE,FT,Engineer,186800,US,100,US,M
2025,SE,FT,Engineer,100900,US,100,US,M
2025,SE,FT,Engineer,440000,US,0,US,M
2025,SE,FT,Engineer,180000,US,0,US,M
2025,MI,FT,Product Manager,259000,US,0,US,M
2025,MI,FT,Product Manager,204000,US,0,US,M
2025,SE,FT,Research Engineer,440000,US,0,US,M
2025,SE,FT,Research Engineer,295000,US,0,US,M
2025,MI,FT,Software Engineer,205800,US,0,US,M
2025,MI,FT,Software Engineer,137200,US,0,US,M
2025,SE,FT,Site Reliability Engineer,224000,US,100,US,M
2025,SE,FT,Site Reliability Engineer,155000,US,100,US,M
2025,SE,FT,Software Engineer,190000,US,0,US,M
2025,SE,FT,Software Engineer,140000,US,0,US,M
2025,MI,FT,Software Developer,110000,US,0,US,M
2025,MI,FT,Software Developer,74935,US,0,US,M
2025,SE,FT,Software Engineer,283990,US,0,US,M
2025,SE,FT,Software Engineer,149471,US,0,US,M
2025,SE,FT,Software Engineer,225000,US,0,US,M
2025,SE,FT,Software Engineer,184000,US,0,US,M
2025,SE,FT,Engineer,180650,US,0,US,M
2025,SE,FT,Engineer,124700,US,0,US,M
2025,SE,FT,Engineer,125000,US,0,US,M
2025,SE,FT,Engineer,115000,US,0,US,M
2025,SE,FT,Software Engineer,286000,US,0,US,M
2025,SE,FT,Software Engineer,143000,US,0,US,M
2025,SE,FT,Applied Scientist,253000,CA,0,CA,M
2025,SE,FT,Applied Scientist,135800,CA,0,CA,M
2025,SE,FT,Applied Scientist,251600,US,0,US,M
2025,SE,FT,Applied Scientist,120100,US,0,US,M
2025,SE,FT,Analyst,130800,US,0,US,M
2025,SE,FT,Analyst,87200,US,0,US,M
2025,SE,FT,Product Manager,286000,US,0,US,M
2025,SE,FT,Product Manager,143000,US,0,US,M
2025,SE,FT,Data Engineer,113924,GB,0,GB,M
2025,SE,FT,Data Engineer,88607,GB,0,GB,M
2025,SE,FT,Data Engineer,314400,US,0,US,M
2025,SE,FT,Data Engineer,161600,US,0,US,M
2025,MI,FT,Data Engineer,98300,US,0,US,M
2025,MI,FT,Data Engineer,65500,US,0,US,M
2025,SE,FT,Data Engineer,183500,US,100,US,M
2025,SE,FT,Data Engineer,128300,US,100,US,M
2025,MI,FT,Data Engineer,129800,US,0,US,M
2025,MI,FT,Data Engineer,70100,US,0,US,M
2025,SE,FT,Data Engineer,170040,US,0,US,M
2025,SE,FT,Data Engineer,97600,US,0,US,M
2025,EN,FT,Data Engineer,142200,US,100,US,M
2025,EN,FT,Data Engineer,106900,US,100,US,M
2025,SE,FT,Data Engineer,234000,US,0,US,M
2025,SE,FT,Data Engineer,90000,US,0,US,M
2025,MI,FT,Data Manager,43205,GB,0,GB,M
2025,MI,FT,Data Manager,38993,GB,0,GB,M
2025,MI,FT,Computer Vision Engineer,251000,US,0,US,M
2025,MI,FT,Computer Vision Engineer,170200,US,0,US,M
2025,MI,FT,Research Scientist,208000,US,0,US,M
2025,MI,FT,Research Scientist,147000,US,0,US,M
2025,MI,FT,Machine Learning Engineer,237500,US,0,US,M
2025,MI,FT,Machine Learning Engineer,137750,US,0,US,M
2025,MI,FT,AI Engineer,140000,US,100,US,M
2025,MI,FT,AI Engineer,110000,US,100,US,M
2025,MI,FT,Data Analyst,146000,US,0,US,M
2025,MI,FT,Data Analyst,104000,US,0,US,M
2025,EN,FT,Data Analyst,90000,US,100,US,M
2025,EN,FT,Data Analyst,80000,US,100,US,M
2025,SE,FT,Data Analyst,130000,US,0,US,M
2025,SE,FT,Data Analyst,110000,US,0,US,M
2025,SE,FT,Data Analyst,178375,US,0,US,M
2025,SE,FT,Data Analyst,107025,US,0,US,M
2025,MI,FT,Data Analytics Manager,128300,US,0,US,M
2025,MI,FT,Data Analytics Manager,73300,US,0,US,M
2025,MI,FT,Manager,140000,US,100,US,M
2025,MI,FT,Manager,130000,US,100,US,M
2025,EN,FT,Data Analyst,107760,CA,0,CA,M
2025,EN,FT,Data Analyst,79648,CA,0,CA,M
2025,MI,FT,Data Scientist,100000,US,0,US,M
