,work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,2025,1,FT,Other,69120,NL,0,NL,2
1,2025,1,FT,Other,50160,NL,0,NL,2
2,2025,1,FT,Data Engineer,158113,US,0,US,2
3,2025,1,FT,Data Engineer,87795,US,0,US,2
4,2025,4,FT,Data Engineer,351410,US,0,US,2
5,2025,4,FT,Data Engineer,195230,US,0,US,2
6,2025,3,FT,Engineer,199000,US,100,US,2
7,2025,3,FT,Engineer,159200,US,100,US,2
8,2025,3,FT,Systems Engineer,207000,US,100,US,2
9,2025,3,FT,Systems Engineer,160000,US,100,US,2
10,2025,3,FT,Analytics Engineer,191000,US,100,US,2
11,2025,3,FT,Analytics Engineer,162000,US,100,US,2
12,2025,2,FT,Analytics Engineer,146000,US,0,US,2
13,2025,2,FT,Analytics Engineer,97000,US,0,US,2
14,2025,3,FT,Data Architect,278500,US,0,US,2
15,2025,3,FT,Data Architect,131300,US,0,US,2
16,2025,2,FT,Data Manager,121000,US,0,US,2
17,2025,2,FT,Data Manager,103000,US,0,US,2
18,2025,2,FT,Data Manager,80000,US,0,US,2
19,2025,2,FT,Data Manager,62000,US,0,US,2
20,2025,3,FT,BI Developer,198300,US,0,US,2
21,2025,3,FT,BI Developer,94400,US,0,US,2
22,2025,2,FT,Machine Learning Engineer,246000,US,0,US,2
23,2025,2,FT,Machine Learning Engineer,196000,US,0,US,2
24,2025,3,FT,Machine Learning Engineer,230000,US,0,US,2
25,2025,3,FT,Machine Learning Engineer,175000,US,0,US,2
26,2025,3,FT,Engineer,175000,CA,0,CA,2
27,2025,3,FT,Engineer,142000,CA,0,CA,2
28,2025,4,FT,Engineer,325000,US,100,US,2
29,2025,4,FT,Engineer,250000,US,100,US,2
30,2025,3,FT,Machine Learning Engineer,174600,US,0,US,2
31,2025,3,FT,Machine Learning Engineer,116400,US,0,US,2
32,2025,3,FT,Machine Learning Scientist,202500,US,0,US,2
33,2025,3,FT,Machine Learning Scientist,121500,US,0,US,2
34,2025,2,FT,Business Intelligence Developer,107309,CA,0,CA,2
35,2025,2,FT,Business Intelligence Developer,85839,CA,0,CA,2
36,2025,3,FT,Product Manager,142000,CA,100,CA,2
37,2025,3,FT,Product Manager,113000,CA,100,CA,2
38,2025,2,FT,Data Scientist,209100,US,0,US,2
39,2025,2,FT,Data Scientist,154500,US,0,US,2
40,2025,3,FT,Data Scientist,335720,US,100,US,2
41,2025,3,FT,Data Scientist,163064,US,100,US,2
42,2025,1,FT,Data Scientist,77000,US,0,US,2
43,2025,1,FT,Data Scientist,70000,US,0,US,2
44,2025,3,FT,Data Scientist,133000,US,0,US,2
45,2025,3,FT,Data Scientist,90000,US,0,US,2
46,2025,2,FT,Data Scientist,150400,US,0,US,2
47,2025,2,FT,Data Scientist,90300,US,0,US,2
48,2025,2,FT,Data Scientist,142200,US,0,US,2
49,2025,2,FT,Data Scientist,85300,US,0,US,2
50,2025,2,FT,Data Scientist,128600,US,0,US,2
51,2025,2,FT,Data Scientist,62800,US,0,US,2
52,2025,2,FT,Data Scientist,218030,US,0,US,2
53,2025,2,FT,Data Scientist,114080,US,0,US,2
54,2025,2,FT,Engineer,240000,US,0,US,2
55,2025,2,FT,Engineer,120000,US,0,US,2
56,2025,3,FT,AI Engineer,200000,US,0,US,2
57,2025,3,FT,AI Engineer,170000,US,0,US,2
58,2025,2,FT,Data Specialist,54000,US,0,US,2
62,2025,3,FT,Research Engineer,218100,US,0,US,2
63,2025,3,FT,Research Engineer,158800,US,0,US,2
64,2025,3,FT,Data Analyst,136000,US,0,US,2
65,2025,3,FT,Data Analyst,86000,US,0,US,2
66,2025,1,FT,Data Analyst,152000,US,0,US,2
67,2025,1,FT,Data Analyst,96000,US,0,US,2
70,2025,3,FT,AI Engineer,214032,US,0,US,2
71,2025,3,FT,AI Engineer,140700,US,0,US,2
72,2025,3,FT,AI Engineer,199000,US,100,US,2
73,2025,3,FT,AI Engineer,159200,US,100,US,2
74,2025,3,FT,Software Developer,158113,US,0,US,2
75,2025,3,FT,Software Developer,87795,US,0,US,2
76,2025,3,FT,Analyst,115000,US,0,US,2
77,2025,3,FT,Analyst,85000,US,0,US,2
78,2025,1,FT,Analyst,124600,US,0,US,2
79,2025,1,FT,Analyst,69000,US,0,US,2
80,2025,3,FT,Engineer,186800,US,100,US,2
81,2025,3,FT,Engineer,100900,US,100,US,2
82,2025,3,FT,Engineer,440000,US,0,US,2
83,2025,3,FT,Engineer,180000,US,0,US,2
88,2025,2,FT,Product Manager,259000,US,0,US,2
89,2025,2,FT,Product Manager,204000,US,0,US,2
90,2025,3,FT,Research Engineer,440000,US,0,US,2
91,2025,3,FT,Research Engineer,295000,US,0,US,2
92,2025,2,FT,Software Engineer,205800,US,0,US,2
93,2025,2,FT,Software Engineer,137200,US,0,US,2
94,2025,3,FT,Site Reliability Engineer,224000,US,100,US,2
95,2025,3,FT,Site Reliability Engineer,155000,US,100,US,2
96,2025,3,FT,Software Engineer,190000,US,0,US,2
97,2025,3,FT,Software Engineer,140000,US,0,US,2
98,2025,2,FT,Software Developer,110000,US,0,US,2
99,2025,2,FT,Software Developer,74935,US,0,US,2
100,2025,3,FT,Software Engineer,283990,US,0,US,2
101,2025,3,FT,Software Engineer,149471,US,0,US,2
102,2025,3,FT,Software Engineer,225000,US,0,US,2
103,2025,3,FT,Software Engineer,184000,US,0,US,2
104,2025,3,FT,Engineer,180650,US,0,US,2
105,2025,3,FT,Engineer,124700,US,0,US,2
106,2025,3,FT,Engineer,125000,US,0,US,2
107,2025,3,FT,Engineer,115000,US,0,US,2
108,2025,3,FT,Software Engineer,286000,US,0,US,2
109,2025,3,FT,Software Engineer,143000,US,0,US,2
110,2025,3,FT,Applied Scientist,253000,CA,0,CA,2
111,2025,3,FT,Applied Scientist,135800,CA,0,CA,2
112,2025,3,FT,Applied Scientist,251600,US,0,US,2
113,2025,3,FT,Applied Scientist,120100,US,0,US,2
114,2025,3,FT,Analyst,130800,US,0,US,2
115,2025,3,FT,Analyst,87200,US,0,US,2
116,2025,3,FT,Product Manager,286000,US,0,US,2
117,2025,3,FT,Product Manager,143000,US,0,US,2
118,2025,3,FT,Data Engineer,113924,GB,0,GB,2
119,2025,3,FT,Data Engineer,88607,GB,0,GB,2
120,2025,3,FT,Data Engineer,314400,US,0,US,2
121,2025,3,FT,Data Engineer,161600,US,0,US,2
122,2025,2,FT,Data Engineer,98300,US,0,US,2
123,2025,2,FT,Data Engineer,65500,US,0,US,2
124,2025,3,FT,Data Engineer,183500,US,100,US,2
125,2025,3,FT,Data Engineer,128300,US,100,US,2
126,2025,2,FT,Data Engineer,129800,US,0,US,2
127,2025,2,FT,Data Engineer,70100,US,0,US,2
128,2025,3,FT,Data Engineer,170040,US,0,US,2
129,2025,3,FT,Data Engineer,97600,US,0,US,2
130,2025,1,FT,Data Engineer,142200,US,100,US,2
131,2025,1,FT,Data Engineer,106900,US,100,US,2
132,2025,3,FT,Data Engineer,234000,US,0,US,2
133,2025,3,FT,Data Engineer,90000,US,0,US,2
134,2025,2,FT,Data Manager,43205,GB,0,GB,2
135,2025,2,FT,Data Manager,38993,GB,0,GB,2
136,2025,2,FT,Computer Vision Engineer,251000,US,0,US,2
137,2025,2,FT,Computer Vision Engineer,170200,US,0,US,2
138,2025,2,FT,Research Scientist,208000,US,0,US,2
139,2025,2,FT,Research Scientist,147000,US,0,US,2
142,2025,2,FT,Machine Learning Engineer,237500,US,0,US,2
143,2025,2,FT,Machine Learning Engineer,137750,US,0,US,2
144,2025,2,FT,AI Engineer,140000,US,100,US,2
145,2025,2,FT,AI Engineer,110000,US,100,US,2
146,2025,2,FT,Data Analyst,146000,US,0,US,2
147,2025,2,FT,Data Analyst,104000,US,0,US,2
148,2025,1,FT,Data Analyst,90000,US,100,US,2
149,2025,1,FT,Data Analyst,80000,US,100,US,2
150,2025,3,FT,Data Analyst,130000,US,0,US,2
151,2025,3,FT,Data Analyst,110000,US,0,US,2
152,2025,3,FT,Data Analyst,178375,US,0,US,2
153,2025,3,FT,Data Analyst,107025,US,0,US,2
154,2025,2,FT,Data Analytics Manager,128300,US,0,US,2
155,2025,2,FT,Data Analytics Manager,73300,US,0,US,2
156,2025,2,FT,Manager,140000,US,100,US,2
157,2025,2,FT,Manager,130000,US,100,US,2
158,2025,1,FT,Data Analyst,107760,CA,0,CA,2
159,2025,1,FT,Data Analyst,79648,CA,0,CA,2
160,2025,2,FT,Data Scientist,100000,US,0,US,2
161,2025,2,FT,Data Scientist,98000,US,0,US,2
162,2025,1,FT,Data Scientist,82000,US,0,US,2
163,2025,1,FT,Data Scientist,51000,US,0,US,2
164,2025,3,FT,Data Scientist,286000,US,100,US,2
165,2025,3,FT,Data Scientist,143000,US,100,US,2
166,2025,3,FT,Data Scientist,180000,US,0,US,2
168,2025,3,FT,Analyst,112500,US,0,US,2
169,2025,3,FT,Analyst,67500,US,0,US,2
170,2025,3,FT,Data Scientist,238000,US,0,US,2
172,2025,3,FT,Data Scientist,200000,US,0,US,2
173,2025,3,FT,Data Scientist,120000,US,0,US,2
174,2025,3,FT,Data Scientist,123203,US,0,US,2
175,2025,3,FT,Data Scientist,89602,US,0,US,2
176,2025,3,FT,AI Architect,148500,US,100,US,2
177,2025,3,FT,AI Architect,111500,US,100,US,2
178,2025,2,FT,Data Developer,110000,US,0,US,2
180,2025,2,FT,Research Scientist,410000,US,0,US,2
181,2025,2,FT,Research Scientist,224000,US,0,US,2
182,2025,2,FT,Research Scientist,389500,US,0,US,2
